Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max           Deleted,,,,,,,,,,,,,,Active,,,,,,,,,,,,,
ss   SS698520                  REMOVABLE MOUNTI,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,No,,,,,,,Yes,,,,,,,,,,,,,
698520   3Ml08                   051131568754,,,,,,,,,,,$1.50,,,,$2.69,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,4,,,,,,,,,,0,,,0,,,,,,,
ss   SS698636                 COLORED PENCIL BA,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,BOOKS,,,,,,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,,,,
698636    WFHT323              978160058273,,,,,,,,,,,$4.48,,,,$8.95,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,2,,,,,,,,,,0,,,0,,,,,,,
ss   SS699322                  INCREDIBLE WI-DTE M,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,PAINT AISL,,,,,,,2,,,,3,,,No,,Yes,,,,,,,,,,,,,,,,,,
699322    GXWM2                096701126927,,,,,,,,,,,$5.13,,,,$10.26,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,2,,,,,,,,,,0,,,0,,,,,,,
ss   SS699403                 CD FLOURES WHT/DE,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,ADHESIVE,,,,,,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,,,,
699403   SM105160             012017701160,,,,,,,,,,,$3.98,,,,$9.95,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,2    05/24/,,,,,,,,,,0,,,0,,,,,,,
ss   SS699489                 CRD FLOURES WHT/D,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,ADHESIVE,,,,,,,2,,,,3,,,No,,,,,,,Yes,,,,,,,,,,,,,
699489    SM10516               012017702167,,,,,,,,,,,$7.20,,,,$17.99,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,2    11/200,,,,,,,,,,0,,,0,,,,,,,
ss   SS701750                 STA-WET PREMIER PA,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,PAINT AISL,,,,,,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,,,,
701750    ME105                   738998001050,,,,,,,,,,,$13.10,,,,$24.25,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,2,,,,,,,,,,0,,,0,,,,,,,
ss   SS703826                  PILOT SILVER XTRAFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ART AISLE,,,,,,,2,,,,8,,,No,,,,,,,Yes,,,,,,,,,,,,,
703826    PIBSCSEF             072838416001,,,,,,,,,,,$1.94,,,,$3.75,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,7    cleared,,,,,,,,,,0,,,0,,,,,,,
ss   SS703842                  PILOT GOLD XTRA FIN,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,ART AISLE,,,,,,,2,,,,8,,,No,,,,,,,Yes,,,,,,,,,,,,,
703842    PIBSCGEF             072838415004,,,,,,,,,,,$1.71,,,,$3.75,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,3,,,,,,,,,,0,,,0,,,,,,,
ss   SS709476                 GALERIA ACRY 60ML,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,PAINT,,,,,,,2,,,,5,,,No,,,,,,,Yes,,,,,,,,,,,,,
709476    WN2120076           094376913880,,,,,,,,,,,$1.97,,,,$5.19,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,3,,,,,,,,,,0,,,0,,,,,,,
ss        SS709484                  BETTER BRISTL GESS,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,PAINT AISL,,,,,,,0,,,,,,,No,,,,,,,Yes,,,,,,,,,,,,,
709484    PB5450F2              757063545206,,,,,,,,,,,$6.29,,,,$20.95,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,I    reg 10.,,,,,,,,,,0,,,0,,,,,,,
ss   SS709492                  GALERIA ACRY 60ML,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,PAINT,,,,,,,2,,,,4,,,No,,,,,,,Yes,,,,,,,,,,,,,
709492    WN2120203           094376913965,,,,,,,,,,,$1.99,,,,$5.19,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,0     update,,,,,,,,,,0,,,0,,,,,,,
Vendor   Item ID,,,,,Description,,,,,,,,Dept          Ma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product ID  Alternate ID,,,,,Barcode,,,,Cost,,,,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"nufacturer
ss   SS709506                   GALERIA ACRY 60ML                     1              MA 709506    WN2120114           094376913910                    $1.97                    $5.19 ss   SS709549                   GALERIA ACRY 60ML                     1               MA 709549    WN2120502           094376914023                    $1.97                    $5.19 ss   SS709573                   GALERIA ACRY 60ML                     l             MA
709573    WN2120115            094376913927                    $1.99                    $5.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Location               Min       M_x            Deleted              Active
QCom    QOH      Note        Multiplier           Fixed
3             4
0
2             4
0
3             4
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,,,,,,,,,,,,,,,,,,,,,,,Tax,,,,Supplier I      Supplier?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,"PAINT
ss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,"PAINT
ss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,"PAINT
ss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
0     update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
2      update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
1     update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
3     update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
0     update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
2    update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
4     update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
3     update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
2     update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
"No
2     update",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,0,,,0,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
0     update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
2    update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
0     update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
"ss   SS709581                   GALERlA ACRY 60ML                     1              MA                                                    PAINT                           6           12
709581    WN2120644           094376914061                    $1.97                    $5.19      EA         Yes          ss                 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS709603,,,GALERIA ACRY 60ML                     1                                                                               PAINT                           4             6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"709603    WN2120386           094376913972                    $1.97                     $5.19      EA        Yes          ss                 0
ss   SS709611                   GALERIA ACRY 60ML                     1              MA                                                    PAINT                           2             5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709611    WN2120S54            094376914054                    $1.99                    $5.19      EA         Yes          ss                 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS709654                   BEITER BRISTL GESS                     1              MA                                                    PAINT AISL                  0             I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709654    PB5450F3,,,,757063545305                    $8.09                 $26.95      EA        Yes          ss                 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS709662                   GALERIA ACRY 60ML                     l             MA                                                    PAINT                           3             4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709662    WN2120179           094376913958                    $1.97                     $5.19      EA         Yes          ss                 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS709670                   GALERIA ACRY 60ML                     I              MA                                                    PAINT                           2             5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709670    WN2120074           094376913873                    $1.99                    $5.19      EA         Yes          ss                 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS709689                   GALERIA ACRY 60ML                     I              MA                                                    PAINT                           2            5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709689    WN2120552           094376914047                    $1.99                    $5.19      EA        Yes         ss                 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS709697                   GALERIA ACRY 60ML                     I              MA                                                      PAINT                           2            4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709697    WN2120484            094376914009                    $1.99                    $5.19      EA         Yes          ss                 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS709719                   GALERIA ACRY 60ML                     1                                                                               PAINT                           2             3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709719    WN2120482           094376913989                    $1.97                    $5.19      EA         Yes          ss                 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS709727                   GALERIA ACRY 60ML                     I              MA                                                    PAINT                           2            4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709727    WN2120488           094376914016                    $1.99                    $5.19      EA         Yes          ss                 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS709735                   GALERIA ACRY 60ML                     I              MA                                                    PAINT                           2            4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709735    WN2120522            094376914030                    $1.99                    $5.19      EA         Yes          ss                 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS709743                   GALERIA ACRY 60ML                     1             MA                                                    PAINT                           4             6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709743    WN2120095            094376913903                    $1.97                     $5.19      EA        Yes          ss                 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS709751                   GALERIA ACRY 60ML                     1              MA                                                    PAINT                           2             4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709751    WN2120483            094376913996                    $1.99                    $5.19      EA         Yes          ss                 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS709778                   GALERIA ACRY 60ML                     1              MA                                                    PAINT                           3             4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709778    WN2120138           094376913941                    $1.97                     $5.19      EA         Yes          ss                 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS709794                   GALERIA ACRY 60ML                     I              MA                                                       PAINT                           3             6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709794    WN2120120            094376913934                    $1.99                    $5.19      EA         Yes          ss                 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS709808                   GALERIA ACRY 60ML                     I              MA                                                       PAINT                           3             5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709808    WN2120090,,,,,"094376913897                    $1.97                     $5.19      EA         Yes          ss                 0             2     update                        0       0
Page 48 of  186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor   Item ID,,,,,Description,,,,,,,,Dept         Ma_ufacturer                                      Location               Min       Max           Delete4              Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product ID   Alternate ID,,,,,Barcode,,,,Cost,,,,Price         Unit     Tax           Supplier 1       Supplier2                  QCom   QOH     Note        Multiplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fi
0",,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
"ss
MW12",S SMW127208 MW127208,,,,MOLOTOW 2MM NEO 4250397600ll,,,,,,$4.14,,l,,,$5.00,,,,EA,,,Yes,,,ss,,,,,,0,,,,,,0,,,"0         No
l     reg$7.",,,,,,,,,,,,,,,,,,,,,,,
"ss
MW12","SSMW127209
MW127209",,,,MOLOTOW 2MM PAIN 425039760012,,,,,,$3.84,,l,,,$5;00,,,,EA,,,Yes,,,ss,,,,,,0,,,,,,0,,,"0         No
2    reg $7.",,,,,,,,,,,,,,,,,,,,,,,
"ss
MW12",SSMW127211 MW1272l l,,,,MOLOTOW 2MM PAIN 425039760014,,,,,,$4.29,,l,,,$7.70,,,,EA,,,Yes,,,ss,,,,,,I,,,,,,0,,,"7         No
6     r eg $7.",,,,,,,,,,,,,,,,,,,,,,,
"ss
MW12",SSMW127212 MW127212,,,,MOLOTOW 2MM PAIN 425039760015,,,,,,$4.29,,l,,,$7.70,,,,EA,,,Yes,,,ss,,,,,,I,,,,,,0,,,"7         No
4     r eg  $ 7.",,,,,,,,,,,,,,,,,,,,,,,
"ss
MW12",SS  MW127218 MW127218,,,,MOLOTOW 2MM COO 425039760021,,,,,,$3.84,,l,,,$5.00,,,,EA,,,Yes,,,ss,,,,,,0,,,,,,0,,,"0        No
4     r eg  $ 7.",,,,,,,,,,,,,,,,,,,,,,,
"ss
MW12",SS  MW127222 MW127222,,,,"MOLOTOW 2MM Flff
425039760025",,,,,,$3.73,,l,,,$5.00,,,,EA,,,Yes,,,ss,,,,,,0,,,,,,0,,,"0        No
I     r eg  $ 7.",,,,,,,,,,,,,,,,,,,,,,,
"ss
MW12",SS  MW127229 MW127229,,,,MOLOTOW 2MM FLOU 425039760032,,,,,,$3.73,,l,,,$5.00,,,,EA,,,Yes,,,ss,,,,,,0,,,,,,0,,,"0        No
4     r eg $7.",,,,,,,,,,,,,,,,,,,,,,,
"ss
MW12",SS  MW127230 MW127230,,,,MOLOTOW 2MM FLOU 425039760033,,,,,,$4.29,,I,,,$5.00,,,,EA,,,Yes,,,ss,,,,,,0,,,,,,0,,,"0        No
7    reg $7.",,,,,,,,,,,,,,,,,,,,,,,
"ss
MW12",SS  MW127232 MW12723i,,,,"MOLOTOW 2MM.    FLOU
425039760035",,,,,,$3.62,,I,,,$5.00,,,,EA,,,Yes,,,ss,,,,,,0,,,,,,0,,,"0        No
4     r eg $7.",,,,,,,,,,,,,,,,,,,,,,,
"ss
MW12",SS  MW127i 34 MW127i 34,,,,MOLOTOW 2MM ORE 425039760037,,,,,,$4.02,,l,,,$5.00,,,,EA,,,Yes,,,ss,,,,,,0,,,,,,0,,,"0        No
6     r e g $7.",,,,,,,,,,,,,,,,,,,,,,,
"ss
MW12",SS  MW127302 MW127302,,,,MOLOTOW 2MM MET 425039760645,,,,,,$3.73,,I,,,$5.00,,,,EA,,,Yes,,,ss,,,,,,0,,,,,,0,,,"0         No
4     re g $7.",,,,,,,,,,,,,,,,,,,,,,,
"ss
MW12",SS  MW127303 MW127303,,,,MOLOTOW 2MM MET 425039760646,,,,,,"$4,29",,l,,,"$5,00",,,,EA,,,Yes,,,ss,,,,,,0,,,,,,0,,,"0        No
3     r eg $7.",,,,,,,,,,,,,,,,,,,,,,,
"ss
MW21",SS  MW21l-OOO MW211000,,,,MOLOTOW 4MM EMP 425039760038,,,,,,$2.94,,l,,,$5.45,,,,EA,,,Yes,,,ss,,,,,,l,,,,,,0,,,"4        No
I    reg :$",,,,,,,,,,,,,,,,,,,,,,,
"ss
MW22",SS  MW227211 MW2272ll,,,,MOLOTOW 4MM PAIN 425039760067,,,,,,$5.10,,l,,,$8.50,,,,EA,,,Yes,,,ss,,,,,,l,,,,,,0,,,"7        No
l     re g $8 .",,,,,,,,,,,,,,,,,,,,,,,
"ss
MW22",S SMW227217 MW227217,,,,MOLOTOW 4MM CER 425039760073,,,,,,$4.29,,l,,,$5.95,,,,EA,,,Yes,,,ss,,,,,,0,,,,,,0,,,"0         No
2     re g $8.",,,,,,,,,,,,,,,,,,,,,,,
"ss
MW22","SS  MW227226
MW227226",,,,"MOLOTOW 4MM SAH
425039760082",,,,,,$4.56,,l,,,$5.95,,,,EA,,,Yes,,,ss,,,,,,0,,,,,,0,,,"0        No
4     r eg $8.",,,,,,,,,,,,,,,,,,,,,,,
"ss
MW22",SS  MW227228 MW227228,,,,MOLOTOW 4MM BLU 425039760084,,,,,,$4.43,,l,,,$5.95,,,,EA,,,Yes,,,ss,,,,,,0,,,,,,0,,,"0        No
3     r eg $8.",,,,,,,,,,,,,,,,,,,,,,,
"ss
MW22",S SMW227230 MW227230,,,,MOLOTOW 4MM FLOU 425039760086,,,,,,$4.38,,1,,,$5.95,,,,EA,,,Yes,,,ss,,,,,,0,,,,,,0,,,"0        No
l     reg $8.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes
Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss,SSMW227232,,,,MOLOTOW 4MM FLOU,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,0        No,,,,,,,,,,,,,,,,,,,,,,,,,
MW22,MW227232,,,,425039760088                   $4.92,,,,,,,,,,,$5.95,,,,EA        Yes,,,,,,,ss,,,,,,,,,,,,0            l     re g $8.,,,,,,,,,,,,,,,,,,,,,,,,,
Page 128 of  186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor   Item ID,,,,Descriptioa,,,,,,,,,Dept         Ma_ufacturer                                     Location               Min       Max            Deleted              Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product ID  Alternate ID,,,,Barcode,,,,,Cost,,,,Price:          Unit     TH           Supplier I       Supplier2                   QCom    QOH  Note        Multiplier           Fixe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss
MW22",,SSMW227302 MW227302,,,,MOLOTOW 4MM PAIN 425039760651,,,,,$4.56,,,,$5.95,,,,,EA,,,Yes,,,,ss,,,0,,,,,,,,,0,,0,,,"No
l     reg $8.",,,,,,,Yes,,,0,,,0,,,,,,,
"ss
MW22",,SSMW227304 MW227304,,,,MOLOTOW 4MM MET 425039760653,,,,,$5.10,,,,$5.95,,,,,EA,,,Yes,,,,"0            0         No                    Yes
ss                0             5    reg $8.                         0      0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss
MW22",,SSMW227305 MW227305,,,,MOLOTOW 4MM PAIN 425039760654,,,,,$4.29,,,,$5.95,,,,,EA,,,Yes,,,,ss,,,0,,,,,,,,,0,,0,,,"No
2     reg $8.",,,,,,,Yes,,,0,,,0,,,,,,,
"ss
MW31",,"SSMW311000
MW311000",,,,"MOLOTOW 8MM EMP
425039760953",,,,,$5.25,,,,$8.75,,,,,,,,Yes,,,,ss,,,,,,,,,,,,0,,3,,,"No
1     reg $8.",,,,,,,Yes,,,0,,,0,,,,,,,
